SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,020820071087135556,10/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,90,9.23,830.7,USD
PCS,020820071087135556,10/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,180,9.23,1661.4,USD
PCS,020320071037125345,10/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1853B,8517629900,5000,13.824,69120,USD
PCS,020320071037125354,10/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,3500,28.6419,100246.65,USD
PCS,020320071037122419,10/16/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,30000,3.9333,117999,USD
PCS,020320071037121941,10/22/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,42000,3.9333,165198.6,USD
PCS,020320071037117419,09/10/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,101,2.13,215.13,USD
PCS,020820071087145136,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,500,9.43,4715,USD
PCS,020820071087145144,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,120,9.28,1113.6,USD
PCS,020320071037115668,11/02/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,224,26.33,5897.92,USD
PCS,020820071087145085,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,4140,9.23,38212.2,USD
PCS,020820071087145083,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,540,9.23,4984.2,USD
PCS,020820071087145083,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,720,9.23,6645.6,USD
PCS,020820071087145085,10/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,230,9.23,2122.9,USD
PCS,020820071087145509,11/01/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,420,28.6419,12029.598,USD
PCS,010120071017229793,10/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1509C,8517629900,400,19.596,7838.4,USD
PCS,020320071037111176,11/08/2007 00:00:00,NORMAL IMPORT 0615,SYN2126A,8517629900,1500,35.87,53805,USD
PCS,020820071087146163,11/12/2007 00:00:00,NORMAL IMPORT 0615,SYN2168B,8517629900,2000,17.83,35660,USD
PCS,010120071017233429,11/09/2007 00:00:00,NORMAL TRADE,SYN1509C,8517629900,500,15.82,7910,USD
PCS,020320071037115828,11/13/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,5500,3.9333,21633.15,USD
